dataset,S_weight,cit_method,mean_average_precision,mean_ndcg
asia,True,fisherz,0.9824985054516714,0.9957376144846828
asia,True,gsq,0.9800245034112918,0.9953565256254417
asia,False,fisherz,0.9929321916204259,0.9989073547420483
asia,False,gsq,0.9738776290053156,0.9932532573865234
cancer,True,fisherz,0.8411523437863729,0.9473657018432621
cancer,True,gsq,0.8366312618870527,0.9451580339495541
cancer,False,fisherz,0.9849638322821523,0.9969420869403863
cancer,False,gsq,0.9812637528093612,0.9959888308147572
earthquake,True,fisherz,0.9911382913609538,0.9981963438328222
earthquake,True,gsq,0.9983540809012723,0.9996755262252792
earthquake,False,fisherz,0.9967140404727692,0.9993171417771265
earthquake,False,gsq,0.9998163552095004,0.9999683996829708
sachs,True,fisherz,0.9667759080923772,0.9955865360192281
sachs,True,gsq,0.9983327418547264,0.9997429178628482
sachs,False,fisherz,0.9513309178516779,0.9910568810013417
sachs,False,gsq,0.9997250256885865,0.9999671889116865
survey,True,fisherz,0.7200331890456692,0.9133700815312917
survey,True,gsq,0.7738843431267484,0.9309848164915212
survey,False,fisherz,0.9187001037018541,0.9819156587014715
survey,False,gsq,0.9227644995518751,0.9827973010981278
insurance,True,fisherz,0.981399789169403,0.9977612534118997
insurance,True,gsq,0.990978482212586,0.998809744122566
insurance,False,fisherz,0.9873104968923997,0.9985815308591575
insurance,False,gsq,0.9951698213395076,0.9995097074734741
